env_step,episode,epsilon,episode_reward,total_waiting_time,throughput,loss
200,0,0.9279999999999999,-875.0529332309961,501.0,3,nan
400,0,0.856,-1108.0623212009668,382.0,1,13.324065208435059
600,0,0.784,-1444.8073287159204,320.0,1,12.550676345825195
800,1,0.712,-426.3892968147993,250.0,0,6.351806640625
1000,1,0.6399999999999999,-1420.7126114815474,870.0,2,6.5313005447387695
1200,1,0.5680000000000001,-1195.5091221779585,387.0,0,6.914461135864258
1400,1,0.4959999999999999,-3072.5219433754683,2017.0,4,7.108696937561035
1600,2,0.42399999999999993,-1278.2056641802192,1092.0,1,5.795269966125488
1800,2,0.352,-1764.55165912956,1384.0,1,6.496637344360352
2000,2,0.2799999999999999,-3696.596632502973,3135.0,3,5.101828575134277
2200,3,0.20799999999999996,-355.20514574088156,329.0,0,5.319026947021484
2400,3,0.136,-384.5376647952944,119.0,2,14.475114822387695
2600,3,0.1,-796.9411329273134,161.0,1,9.20255184173584
2800,3,0.1,-1431.0863694194704,241.0,2,9.607246398925781
3000,4,0.1,-436.6327944993973,218.0,1,9.492172241210938
3200,4,0.1,-821.8596411943436,236.0,1,10.523921966552734
3400,4,0.1,-1118.37257874012,166.0,0,10.286284446716309
3600,4,0.1,-1549.3243466615677,230.0,3,11.820703506469727
3800,5,0.1,-613.7538506388664,251.0,0,10.41074275970459
4000,5,0.1,-841.5554587244987,88.0,1,9.262751579284668
4200,5,0.1,-1429.4250499606133,223.0,0,9.790570259094238
4400,6,0.1,-280.8164460659027,130.0,0,6.109219551086426
4600,6,0.1,-746.3075649738312,272.0,1,5.547393798828125
4800,6,0.1,-940.142742395401,154.0,0,4.744221210479736
5000,6,0.1,-1254.8206741809845,157.0,2,3.116835594177246
5200,7,0.1,-308.99496051482856,98.0,4,4.935276031494141
5400,7,0.1,-736.6710278671235,227.0,3,4.2531561851501465
5600,7,0.1,-1028.0586058776826,230.0,1,4.777215480804443
5800,8,0.1,-155.17864894866943,130.0,0,3.991154432296753
6000,8,0.1,-440.60558891296387,145.0,3,5.163995742797852
6200,8,0.1,-554.2131292466074,106.0,2,7.087420463562012
6400,8,0.1,-1249.5341674927622,161.0,2,6.712505340576172
6600,8,0.1,-1775.1412436608225,162.0,1,5.451971530914307
6800,9,0.1,-342.1596769094467,133.0,0,5.991135597229004
7000,9,0.1,-960.3646253347397,318.0,1,5.468016147613525
7200,9,0.1,-1323.9430812597275,287.0,1,5.9743852615356445
7400,9,0.1,-1691.0552476644516,267.0,1,8.094955444335938
7600,10,0.1,-472.99356162548065,137.0,1,6.799437522888184
7800,10,0.1,-927.0198591947556,206.0,0,6.151951313018799
8000,10,0.1,-1529.2720226049423,393.0,2,6.039882659912109
8200,11,0.1,-138.75766580924392,114.0,0,2.8007583618164062
8400,11,0.1,-476.94678419455886,197.0,2,2.948854923248291
8600,11,0.1,-768.79319017753,230.0,3,3.5468828678131104
8800,11,0.1,-1002.1192161403596,204.0,2,4.60828161239624
9000,12,0.1,-401.5922692101449,276.0,1,1.9474340677261353
9200,12,0.1,-669.5797331612557,280.0,1,2.793361186981201
9400,12,0.1,-886.5069935601205,229.0,1,3.069671869277954
9600,12,0.1,-1101.3824227135628,181.0,5,2.9418506622314453
9800,13,0.1,-393.7218536697328,145.0,1,4.074479103088379
10000,13,0.1,-761.8213667236269,257.0,5,2.400169610977173
10200,13,0.1,-1191.525824483484,234.0,2,3.948951244354248
10400,14,0.1,-325.50723323225975,185.0,1,4.0139312744140625
10600,14,0.1,-818.7848154008389,305.0,2,3.807490587234497
10800,14,0.1,-1051.176709741354,163.0,1,5.07905387878418
11000,14,0.1,-1449.4705668389797,167.0,2,4.8321404457092285
11200,15,0.1,-462.37733438424766,198.0,5,5.0305352210998535
11400,15,0.1,-801.853165416047,216.0,2,3.514003038406372
11600,15,0.1,-1171.7908566277474,224.0,0,4.5294060707092285
11800,16,0.1,-146.54368004016578,88.0,0,4.728094577789307
12000,16,0.1,-561.9190071504563,136.0,3,3.6651625633239746
12200,16,0.1,-461.98348971642554,153.0,0,2.9451684951782227
12400,16,0.1,-806.9069416169077,156.0,2,2.0978307723999023
12600,16,0.1,-1171.2962877396494,197.0,3,3.002302646636963
12800,17,0.1,-298.39198043756187,182.0,5,2.9748783111572266
13000,17,0.1,-616.0559671204537,165.0,0,2.5880746841430664
13200,17,0.1,-979.0963599961251,156.0,2,2.7228739261627197
13400,17,0.1,-1313.931676177308,153.0,0,2.598165512084961
13600,18,0.1,-459.7576448600739,225.0,0,2.7389981746673584
13800,18,0.1,-699.3669864814728,123.0,1,3.611478805541992
14000,18,0.1,-1064.4300853889436,174.0,0,2.606266736984253
14200,19,0.1,-150.35333650931716,95.0,0,2.637040615081787
14400,19,0.1,-552.2325717769563,154.0,3,2.463916301727295
14600,19,0.1,-915.4435092769563,158.0,0,2.1375186443328857
14800,19,0.1,-1238.0472900234163,100.0,1,2.449981689453125
15000,20,0.1,-419.63583108596504,238.0,0,2.6586720943450928
15200,20,0.1,-844.3752271812409,250.0,0,2.381457567214966
15400,20,0.1,-1244.3538353126496,264.0,0,2.1478888988494873
15600,20,0.1,-1585.4174930732697,187.0,2,2.376302719116211
15800,21,0.1,-586.7695531211793,242.0,0,2.0915372371673584
16000,21,0.1,-983.880880292505,247.0,0,2.0862984657287598
16200,21,0.1,-1460.8224744163454,351.0,1,2.1252987384796143
16400,22,0.1,-296.3043382130563,193.0,3,1.9411098957061768
16600,22,0.1,-621.3560645543039,190.0,0,2.991455316543579
16800,22,0.1,-1046.6985690556467,218.0,2,2.1569528579711914
17000,22,0.1,-1440.4471952877939,209.0,0,2.6119892597198486
17200,23,0.1,-498.97077634744346,221.0,2,2.6330792903900146
17400,23,0.1,-860.0779884140939,189.0,0,2.9076530933380127
17600,23,0.1,-1152.1153505127877,138.0,0,2.934823751449585
17800,24,0.1,-167.21349414996803,128.0,0,2.028165817260742
18000,24,0.1,-519.7191322725266,138.0,1,1.447750449180603
18200,24,0.1,-671.9999463204294,257.0,0,2.5527284145355225
18400,24,0.1,-1005.2355591896921,243.0,1,2.2447495460510254
18600,24,0.1,-1361.702491486445,207.0,0,2.246938705444336
18800,25,0.1,-259.3705139439553,128.0,3,1.9769210815429688
19000,25,0.1,-752.7107992451638,204.0,1,2.1896920204162598
19200,25,0.1,-1179.663924722001,260.0,1,2.6348280906677246
19400,25,0.1,-1453.3981385510415,158.0,4,1.946173906326294
19600,26,0.1,-490.0594458859414,212.0,4,2.642087936401367
19800,26,0.1,-930.1963343899697,207.0,3,2.5821261405944824
20000,26,0.1,-1454.40443947725,276.0,1,2.16658091545105
20200,27,0.1,-192.6245042644441,156.0,0,1.4361944198608398
20400,27,0.1,-669.1661321483552,308.0,0,2.0862083435058594
20600,27,0.1,-1016.3278772197664,246.0,0,2.031935214996338
20800,27,0.1,-1359.9642307125032,166.0,0,1.5098037719726562
21000,28,0.1,-449.72199943475425,198.0,2,3.8027687072753906
21200,28,0.1,-873.1512997429818,179.0,2,2.3284213542938232
21400,28,0.1,-1372.8846848290414,319.0,1,1.9807791709899902
21600,28,0.1,-1608.7832167427987,121.0,1,1.8497750759124756
21800,29,0.1,-537.0128547511995,171.0,1,1.8913910388946533
22000,29,0.1,-1013.9244133792818,248.0,2,1.8193047046661377
22200,29,0.1,-694.470476353541,297.0,0,1.8370004892349243
22400,29,0.1,-943.3699214104563,211.0,3,1.7281798124313354
22600,29,0.1,-1217.7517916802317,149.0,0,1.9047685861587524
22800,30,0.1,-343.3849215786904,211.0,2,2.086813449859619
23000,30,0.1,-782.1302066128701,241.0,1,2.0359394550323486
23200,30,0.1,-1171.7073345463723,194.0,1,1.462202787399292
23400,30,0.1,-1684.7469320576638,308.0,4,1.3901264667510986
23600,31,0.1,-547.8539163749665,248.0,4,1.7588937282562256
23800,31,0.1,-939.0822355430573,189.0,0,2.111898422241211
24000,31,0.1,-1382.1169788520783,311.0,1,1.2939461469650269
24200,32,0.1,-219.94999450072646,167.0,0,1.8821556568145752
24400,32,0.1,-802.4849056564271,268.0,0,1.3747291564941406
24600,32,0.1,-1135.7357062660158,241.0,2,2.6336159706115723
24800,32,0.1,-1443.4257382713258,227.0,1,1.7818994522094727
25000,33,0.1,-498.5774081032723,266.0,1,1.7619125843048096
