update,env_step,episode,episode_reward,total_waiting_time,throughput,policy_loss,value_loss,entropy
5,640,0,-1725.7015422657132,248.0,3,-0.0043915510177612305,402.9225158691406,0.4851677715778351
10,1280,1,-1844.5695440471172,136.0,3,-0.03936213254928589,291.9954528808594,0.2668589651584625
15,1920,2,-1729.3187269568443,216.0,1,-0.01184935588389635,115.44329833984375,0.16389422118663788
20,2560,3,-1534.4305580854416,243.0,1,0.05432085692882538,117.07264709472656,0.10855276882648468
25,3200,4,-1136.3846644461155,130.0,1,0.08884541690349579,103.11959075927734,0.12006686627864838
30,3840,5,-938.0693766474724,177.0,3,-0.019479377195239067,121.92677307128906,0.11687587201595306
35,4480,6,-550.0598920583725,38.0,1,0.008287761360406876,159.2775421142578,0.08327615261077881
40,5120,7,-444.6537074148655,188.0,0,0.04256712272763252,132.46121215820312,0.10798030346632004
45,5760,8,0.0,1110.0,1,-0.03809378296136856,8533.8154296875,0.03970940038561821
50,6400,8,-2317.598524004221,214.0,2,0.06745673716068268,1948.5035400390625,0.03708457946777344
55,7040,8,-2284.840979963541,168.0,2,0.03994616121053696,59.135311126708984,0.031230641528964043
60,7680,9,-2089.755811601877,217.0,1,0.014693375676870346,59.73938751220703,0.010378590784966946
65,8320,10,-3185.2260479032993,1655.0,3,0.0408765971660614,26852.498046875,0.0026073502376675606
70,8960,11,-1383.3403733968735,35.0,0,-0.03556114807724953,50.08750915527344,0.0076902806758880615
75,9600,12,-1310.316167473793,237.0,0,-0.013986814767122269,71.06041717529297,0.005723585840314627
80,10240,13,-1172.5695914328098,365.0,4,0.012310260906815529,194.11642456054688,0.001463419641368091
85,10880,14,-1755.523858577013,1222.0,1,-0.03436902537941933,3612.901123046875,0.004023340530693531
90,11520,15,-480.39797246456146,216.0,0,-0.05188982933759689,92.10773468017578,0.003343068528920412
95,12160,16,0.0,209.0,3,-0.016026172786951065,136.39175415039062,0.010069731622934341
100,12800,16,-2209.6025236845016,52.0,3,-0.04479797184467316,41.496925354003906,0.009306139312684536
105,13440,16,-2216.889419436455,72.0,1,-0.06710818409919739,27.752729415893555,0.004565112758427858
110,14080,17,-2101.364422917366,217.0,1,0.05819140747189522,50.24409103393555,0.0024123424664139748
115,14720,18,-1887.2662082016468,270.0,2,0.01583857461810112,68.26123809814453,0.007840080186724663
120,15360,19,-1400.5319916307926,51.0,0,-0.046220168471336365,15.684898376464844,0.002811742015182972
125,16000,20,-1257.5430628359318,181.0,1,0.03521057590842247,71.5488510131836,0.0031832887325435877
130,16640,21,-1153.987872004509,347.0,4,-0.08376209437847137,164.86012268066406,0.0026474441401660442
135,17280,22,-593.1021511554718,56.0,2,0.018599681556224823,56.184730529785156,0.0041162786073982716
140,17920,23,-435.4258294403553,171.0,1,0.05593439191579819,89.17410278320312,0.0035661146976053715
145,18560,24,0.0,306.0,6,-0.037552230060100555,110.08311462402344,0.003086621640250087
150,19200,24,-2230.4039458036423,67.0,1,-0.06979800760746002,44.37355422973633,0.0009440946159884334
155,19840,24,-2211.805673480034,49.0,1,0.022205844521522522,30.853361129760742,0.0034789203200489283
160,20480,25,-2109.490538984537,223.0,0,-0.09565968811511993,32.975746154785156,0.0031908443197607994
165,21120,26,-1939.0461927950382,321.0,5,0.1563107669353485,50.86771011352539,0.0031286401208490133
170,21760,27,-1389.8196608126163,40.0,0,-0.08470630645751953,19.36557388305664,0.002202190225943923
175,22400,28,-1379.625628143549,303.0,0,0.11756325513124466,262.1539001464844,0.0025325892493128777
180,23040,29,-1144.256009966135,337.0,8,-0.03458729386329651,129.41627502441406,0.003144914750009775
185,23680,30,-589.7454824745655,52.0,0,0.0294514000415802,192.80819702148438,0.002290956676006317
190,24320,31,-395.3657677471638,131.0,1,-0.050165873020887375,97.38304138183594,0.007790242321789265
195,24960,32,0.0,259.0,8,-0.058712780475616455,134.19839477539062,0.002040854189544916
