env_step,episode,epsilon,episode_reward,total_waiting_time,throughput,loss
200,0,0.9975,-570.42986138165,313.0,877,nan
400,0,0.995,-684.2795584946871,163.0,1986,9.870888710021973
600,0,0.9925,-1161.1194251328707,375.0,3093,12.503886222839355
800,1,0.99,-255.40995582938194,149.0,190,8.84460163116455
1000,1,0.9875,-554.5097378194332,188.0,1324,7.381165504455566
1200,1,0.985,-880.9495342671871,246.0,2438,6.224831581115723
1400,1,0.9825,-1087.869407504797,190.0,3528,5.4661865234375
1600,2,0.98,-315.9798405021429,101.0,646,8.102970123291016
1800,2,0.9775,-667.2395994514227,184.0,1755,5.378544807434082
2000,2,0.975,-1062.449377283454,312.0,2856,6.28655481338501
2200,3,0.9725,-237.82002061605453,184.0,25,6.390474319458008
2400,3,0.97,-554.3198346495628,232.0,1113,7.018698215484619
2600,3,0.9675,-858.1996340155602,269.0,2217,4.934523582458496
2800,3,0.965,-995.349388062954,145.0,3312,3.118450164794922
3000,4,0.9625,-379.20990939438343,220.0,420,3.502115488052368
3200,4,0.96,-691.5697431117296,265.0,1539,2.9521007537841797
3400,4,0.9575,-881.6195890456438,190.0,2662,2.7702243328094482
3600,4,0.955,-1164.039400294423,208.0,3766,3.4944241046905518
3800,5,0.9525,-628.0898509323597,367.0,873,2.6896324157714844
4000,5,0.95,-646.5896382629871,117.0,1989,3.4056649208068848
4200,5,0.9475,-966.5194247066975,175.0,3104,3.188699245452881
4400,6,0.945,-230.0499463379383,127.0,195,3.0681116580963135
4600,6,0.9425,-579.4097552597523,212.0,1312,4.712096214294434
4800,6,0.94,-855.4495425522327,222.0,2439,2.760917901992798
5000,6,0.9375,-1071.7192712128162,174.0,3534,3.0877978801727295
5200,7,0.935,-523.1298086345196,311.0,648,1.9815032482147217
5400,7,0.9325,-738.7596094310284,259.0,1759,2.992892265319824
5600,7,0.9299999999999999,-936.1894914805889,190.0,2852,3.4457809925079346
5800,8,0.9275,-212.37998758256435,163.0,27,2.5381996631622314
6000,8,0.925,-443.39985404908657,129.0,1111,2.8415651321411133
6200,8,0.9225,-723.2495945543051,142.0,2222,1.9557147026062012
6400,8,0.92,-1132.9294198602438,289.0,3311,2.01460862159729
6600,9,0.9175,-256.4699389487505,99.0,411,3.003751754760742
6800,9,0.915,-753.859734967351,329.0,1540,2.3474459648132324
7000,9,0.9125,-1008.9996072798967,319.0,2661,2.6761398315429688
7200,9,0.91,-1189.8793470412493,233.0,3768,2.4320614337921143
7400,10,0.9075,-379.0698569267988,113.0,881,1.9079153537750244
7600,10,0.905,-756.9896667450666,228.0,1991,2.0200557708740234
